Country,Code,Internet,LifeExpectancy,HealthcareSpending,InfantMortality
Afghanistan,AFG,17.1917,65.617,490.1613,5.198535
Albania,ALB,82.6137,78.7688,1439.6853,0.8314521
Algeria,DZA,74.8319,76.1289,575.58496,1.9966999
Andorra,AND,94.4855,84.0164,5152.053,0.25631315
Angola,AGO,42.0719,64.2455,259.07773,3.9560845
Antigua and Barbuda,ATG,77.1648,77.4833,1330.0873,0.7488626
Argentina,ARG,88.3754,75.8061,3006.9792,0.8349788
Armenia,ARM,77.0277,74.6333,1967.402,0.9293115
Australia,AUS,97.0424,82.7662,7128.308,0.3172764
Austria,AUT,93.6141,81.2959,7995.7793,0.2710033
Azerbaijan,AZE,88.0,74.125,758.7803,1.405586
Bahamas,BHS,94.7326,74.4911,2445.1582,1.1565565
Bahrain,BHR,100.0,80.9921,2370.3044,0.6974021
Bangladesh,BGD,41.6165,74.2647,187.2176,2.4359066
Barbados,BRB,79.4451,75.6761,1162.3798,0.9609955
Belarus,BLR,89.5073,74.3612,1881.2255,0.1980611
Belgium,BEL,94.0078,81.1589,7359.425,0.31154728
Belize,BLZ,71.8096,72.1904,567.74384,1.0891907
Benin,BEN,30.0134,60.4751,114.62701,4.7731986
Bhutan,BTN,86.2903,72.754,555.5646,1.9128637
Bolivia,BOL,67.3612,67.4342,742.56256,2.073066
Bosnia and Herzegovina,BIH,78.8455,76.7772,1827.2787,0.5504762
Botswana,BWA,80.3696,68.7487,1145.9723,3.92482
Brazil,BRA,80.5278,74.8719,1865.9186,1.2588183
Brunei,BRN,98.9704,72.9171,1448.2311,0.8345232
Bulgaria,BGR,79.1269,74.0342,2728.5244,0.5093513
Burkina Faso,BFA,14.6238,60.7,203.43124,4.6109333
Burundi,BDI,11.0009,62.8819,77.10578,3.2374904
Cambodia,KHM,59.6606,70.528,309.09354,2.1118162
Cameroon,CMR,41.775,62.4428,233.2131,4.247366
Canada,CAN,94.0,81.2493,7066.05,0.44517252
Cape Verde,CPV,72.7601,75.9068,651.50476,1.1469043
Chad,TCD,12.4865,54.5275,108.17181,6.0301337
Chile,CHL,93.5377,79.1762,3083.671,0.5899701
China,CHN,75.6113,78.2021,1342.9005,0.47799385
Colombia,COL,72.7964,76.5081,1570.8839,1.1275983
Comoros,COM,32.7685,66.4806,309.2057,3.6767395
Congo,COG,37.4939,65.0003,134.7309,2.845848
Costa Rica,CRI,82.598,79.3164,1862.3512,0.8848811
Cote d'Ivoire,CIV,38.4133,61.5622,246.67453,4.787204
Croatia,HRV,82.0716,78.2779,3021.2556,0.39012125
Cuba,CUB,68.25,77.6291,3174.457,0.6316302
Cyprus,CYP,89.601,80.4337,4542.945,0.28164503
Czechia,CZE,84.5401,79.1648,4444.877,0.21580055
Democratic Republic of Congo,COD,29.4996,60.9789,56.30231,4.581694
Denmark,DNK,97.8601,81.2906,7333.161,0.30922842
Djibouti,DJI,63.2573,65.5402,159.60509,4.589984
Dominica,DMA,83.3101,71.0806,1059.209,3.272946
Dominican Republic,DOM,81.5127,74.2108,1131.8705,2.9138334
East Timor,TLS,34.5102,67.3684,427.3627,3.6918478
Ecuador,ECU,69.7181,76.5767,1157.0543,1.1209651
Egypt,EGY,72.1981,71.0097,827.90094,1.6661743
El Salvador,SLV,65.5298,71.9695,1164.5092,0.9493193
Equatorial Guinea,GNQ,59.3433,63.3545,514.67926,5.087781
Eritrea,ERI,18.7092,67.7892,86.81522,2.6366
Estonia,EST,91.5202,78.1674,3358.1792,0.16722475
Eswatini,SWZ,57.465,63.0283,771.34894,4.4611444
Fiji,FJI,78.2433,67.1481,549.29114,2.3548632
Finland,FIN,92.9888,81.2435,5961.9927,0.18286386
France,FRA,85.3333,82.4753,6642.984,0.33791366
Gabon,GAB,70.7069,67.713,577.95917,2.7205603
Gambia,GMB,44.0389,64.859,108.48988,3.4916313
Georgia,GEO,78.7113,74.1409,1823.3392,0.8074895
Germany,DEU,91.6298,80.5796,8469.651,0.3075237
Ghana,GHA,69.3607,65.246,264.90253,2.9166942
Greece,GRC,83.1707,79.9441,3285.433,0.32577914
Grenada,GRD,74.2689,75.1508,882.1576,1.6871926
